event_id,lat,lon,dt,frp,event_n
2021-06-05_10,39.50991,47.18996,2021-06-05 09:14:00+00:00,19.06,16
2021-06-05_11,39.59702,47.20838,2021-06-05 09:14:00+00:00,5.42,2
2021-06-05_12,39.6173,47.10443,2021-06-05 10:05:00+00:00,5.38,2
2021-06-05_13,37.42892,27.64723,2021-06-05 10:06:00+00:00,19.92,2
2021-06-05_14,56.98984,47.2704,2021-06-05 09:19:00+00:00,8.91,3
2021-06-05_15,60.12368,40.22232,2021-06-05 10:11:00+00:00,11.89,3
2021-06-05_16,38.18807,28.24505,2021-06-05 10:55:00+00:00,104.5,7
2021-06-05_17,40.01578,18.31955,2021-06-05 11:47:00+00:00,8.94,2
2021-06-05_18,45.45663,16.24169,2021-06-05 10:58:00+00:00,17.39,4
2021-06-05_19,37.30967,-6.14074,2021-06-05 12:37:00+00:00,6.44,3
2021-06-05_2,36.322,47.92818,2021-06-05 10:04:00+00:00,19.53,2
2021-06-05_20,37.1627,41.96165,2021-06-05 09:14:00+00:00,5.77,2
2021-06-05_21,36.85997,39.52885,2021-06-05 09:14:00+00:00,12.1,2
2021-06-05_22,39.54321,47.19435,2021-06-05 09:14:00+00:00,19.24,6
2021-06-05_23,36.61243,44.18085,2021-06-05 10:54:00+00:00,6.72,2
2021-06-05_24,37.1517,42.50919,2021-06-05 10:54:00+00:00,7.01,4
2021-06-05_25,37.15294,42.53148,2021-06-05 10:54:00+00:00,12.32,2
2021-06-05_26,37.40723,35.90858,2021-06-05 10:55:00+00:00,28.74,2
2021-06-05_27,38.18086,39.90648,2021-06-05 10:55:00+00:00,13.66,4
2021-06-05_28,38.58719,39.23881,2021-06-05 10:55:00+00:00,37.84,2
2021-06-05_29,37.94619,12.51629,2021-06-05 12:36:00+00:00,9.01,3
2021-06-05_3,36.08186,36.98115,2021-06-05 10:05:00+00:00,13.93,3
2021-06-05_30,40.07327,18.13214,2021-06-05 12:37:00+00:00,6.18,2
2021-06-05_4,39.13267,46.80045,2021-06-05 09:14:00+00:00,8.2,5
2021-06-05_5,39.19301,46.93269,2021-06-05 10:05:00+00:00,10.37,4
2021-06-05_6,39.37354,47.08269,2021-06-05 09:14:00+00:00,5.2,11
2021-06-05_7,39.40918,47.07583,2021-06-05 09:14:00+00:00,10.27,5
2021-06-05_8,39.46673,47.18554,2021-06-05 09:14:00+00:00,5.81,23
2021-06-05_9,39.46303,47.10824,2021-06-05 09:14:00+00:00,7.8,10
2021-06-06_0,58.58223,42.16318,2021-06-06 08:12:00+00:00,9.04,4
2021-06-06_1,61.58029,39.05094,2021-06-06 08:13:00+00:00,13.03,8
2021-06-06_10,36.62713,36.49839,2021-06-06 09:46:00+00:00,6.3,5
2021-06-06_11,37.58047,38.42049,2021-06-06 09:46:00+00:00,5.92,4
2021-06-06_12,39.47775,47.1105,2021-06-06 09:46:00+00:00,5.81,4
2021-06-06_13,36.29259,36.27339,2021-06-06 11:26:00+00:00,10.3,4
2021-06-06_14,36.86406,38.7216,2021-06-06 11:27:00+00:00,7.22,2
2021-06-06_15,37.00032,35.85711,2021-06-06 11:27:00+00:00,6.38,2
